Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight,Outliers,bin_cut_break,Price Range,INDEX,Brand_Encode,Dial Shape_Encode,Strap Color_Encode,Strap Material_Encode,Battery Life (Days)_Encode,Display Size_Encode,Weight_Encode,Bluetooth_Encode,Touchscreen_Encode
noise,1499.0,4999.0,70.0140028,4.1,148555.0,ColorFit Pro 2,Rectangle,Black,Synthetic,Yes,22.0,Yes,1.3 inches,<= 20 g,NO,Low,< 18000,37,1999.0,24565.0,16618.0,1999.0,22.0,18431.0,24258.0,1.0,1.0
noise,1999.0,5999.0,66.67777963,4.1,69379.0,ColorFit Pro 3,Rectangle,Black,Thermo Plastic Polyurethene,Yes,3.5,Yes,1.6 inches,20 - 35 g,NO,Low,< 18000,39,1499.0,24554.0,16608.0,1799.0,3.0,33155.0,18351.0,1.0,1.0
fire-boltt,3449.0,9999.0,65.50655066,3.8,83.0,ring,Square,Black,Rubber,Yes,22.0,Yes,0.1 inches,75g +,NO,Low,< 18000,74,19103.0,8197.0,16579.0,24786.0,22.0,3269.0,16455.0,1.0,1.0
honor,8999.0,14999.0,40.00266684,4.4,14613.0,Magic Watch 2 (46mm),Circle,Black,Fluoroelastomer,Yes,8.0,Yes,1.4 inches,20 - 35 g,NO,Low,< 18000,139,12199.0,21408.0,16468.0,22516.0,8.0,18067.0,18246.0,1.0,1.0
honor,12999.0,18999.0,31.58060951,4.2,84.0,Watch GS 3,Circle,Blue,Leather,Yes,8.0,Yes,1.4 inches,20 - 35 g,NO,Low,< 18000,140,11399.0,21339.0,15862.0,19780.0,8.0,17913.0,18186.0,1.0,1.0
honor,13999.0,15999.0,12.500781300000002,4.4,14613.0,Magic Watch 2 (46 mm),Circle,Brown,Leather,Yes,8.0,Yes,1.8 inches,20 - 35 g,NO,Low,< 18000,141,11199.0,21322.0,20326.0,19637.0,8.0,20548.0,18172.0,1.0,1.0
honor,17999.0,20999.0,14.28639459,4.4,1111.0,Watch GS Pro,Circle,Blue,Nylon,Yes,17.5,Yes,1.4 inches,20 - 35 g,NO,Low,< 18000,142,10399.0,21253.0,15584.0,19103.0,17.0,17721.0,18112.0,1.0,1.0
honor,4999.0,10999.0,54.55041367,4.3,2241.0,Watch ES,Rectangle,Pink,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g,NO,Low,< 18000,143,12999.0,24491.0,14071.0,15046.0,22.0,33005.0,24163.0,1.0,1.0
honor,10999.0,13999.0,21.43010215,4.4,14613.0,Magic Watch 2 (42 mm),Circle,Black,Fluoroelastomer,Yes,22.0,Yes,1.7 inches,<= 20 g,NO,Low,< 18000,146,11799.0,21374.0,16428.0,22350.0,22.0,18457.0,24001.0,1.0,1.0
samsung,12990.0,29999.0,56.69855662,4.4,35511.0,"Watch 4, 44mmSuper AMOLED bluetooth calling function & body composition tracking",Circle,Black,Rubber,Yes,3.5,Yes,1.4 inches,<= 20 g,NO,Low,< 18000,155,27277.0,21339.0,16388.0,23991.0,3.0,17913.0,23947.0,1.0,1.0
